,gene_short_name,V515-06187-A1,TNT-272,TNT-81,TNT-282,17-00113-4_S11_cufflinks,TNT-269,TNT-16,TNT-53,TNT-322,TNT-265,17-00140-2_S2_cufflinks
89,SRPX,12.4869,1.3637,2.22247,0.979694,4.32891,4.5408,10.7163,1.37933,3.19103,0.232665,3.01984
90,TCF7L1,11.751,36.1423,9.41361,1.45767,12.1978,7.46634,6.46698,23.572,12.017,5.04884,11.4746
91,TFAP2B,1.18026,0.162396,0.25997,0.0384123,0.300197,0.547532,34.228,0.612569,5.67484,0.0699716,0.613329
92,THBS4,8.67223,5.26763,1.31731,1.69832,2.00873,32.1965,10.0685,5.73771,39.4894,1.13356,1.39697
93,TNFAIP8,5.97248,15.1367,19.5884,18.8429,12.079,20.2453,28.6406,18.9355,14.2634,93.1282,22.7301
94,TNFSF10,24.8142,22.141,29.7736,273.724,20.4693,17.3422,158.82,29.5446,11.1771,48.2169,44.791
95,TRIM68,7.67148,3.40839,0.859196,2.04787,2.78882,1.25878,5.53874,0.2459,2.0345,1.81994,2.501
96,TSC22D3,7.24202,8.29544,13.9806,8.62,6.2024,6.35501,35.7546,11.5905,21.122,13.4299,2.33293
97,UBD,0.0,130.505,51.0129,48.1235,57.6173,20.2151,2.09e-27,146.91,1.2589,25.0035,0.0
98,UGT2B28,0.0,0.0963514,0.0,0.915341,0.0,1.55169,4.88119,1.3952,0.696688,0.0886665,0.0
99,XBP1,26.3139,51.9931,57.2937,71.5768,31.089,81.4529,282.606,37.965,39.6349,42.5204,48.3852
100,ZCCHC24,0.75321,0.159236,0.298537,0.791422,0.503292,0.418103,2.67221,0.0592135,0.51401,0.398274,0.389981
