,gene_short_name,V515-06187-A1,TNT-141,TNT-210,17-00116-9_S2Aligned_cufflinks,TNT-138,TNT-177,TNT-321,TNT-217,TNT-195,TNT-270,17-00156-7_S13Aligned_cufflinks
79,S100A8,3.4999599999999997,3.4862,8.24156,7.834510000000001,3.7069900000000002,0.0,0.865534,1.84107,16.3063,65.1642,93.6986
80,SCRG1,23.221999999999998,0.0,0.396997,0.14674600000000002,9.104339999999999,6.31794,2.90619,0.0,5.83464,4.2639,0.0
81,SEMA3C,89.189,156.839,62.8637,151.089,48.4115,38.0269,5.4474599999999995,0.384932,37.1668,80.1454,0.9662040000000001
82,SERHL2,5.02658,3.32934,3.14037,31.3695,0.0,11.314,0.718039,6.733789999999999,1.57418,532.4590000000001,0.0
83,SFRP1,35.3095,1.24034,17.6487,16.9775,29.8529,4.2594,11.2555,3.47615,5.8487599999999995,1.61611,1.7652700000000001
84,SIDT1,0.9090090000000001,72.2701,18.0737,5.80579,4.34556,0.0,2.17142,41.6228,4.88103,23.9854,0.0
85,SOX10,3.84721,2.96958,0.505514,4.77844,2.89194,1.8337,1.45691,0.696051,1.4996399999999999,0.0149695,6.01954
86,SPDEF,0.141878,1.04922,0.225649,1.30039,3.11461,0.0,0.0,0.452909,1.43333,2.37184,0.0
87,SPRR1B,0.09447810000000001,0.0,0.5695319999999999,20.3387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,39.1107,86.4089,34.1525,28.2666,17.4346,12.505999999999998,37.9831,44.4492,55.7678,0.0
89,SRPX,12.4869,2.33744,2.24911,25.4276,3.70946,8.21848,1.2381,3.18607,13.5443,0.486246,0.0
90,TCF7L1,11.751,5.11118,6.50692,17.4147,39.6483,12.356,15.7481,4.03289,6.93266,1.8168099999999998,0.0
91,TFAP2B,1.18026,5.01163,1.14647,7.858810000000001,1.48915,0.0,0.0,0.0,4.9751,69.5657,0.0
92,THBS4,8.67223,63.14,2.7887299999999997,10.1741,24.1,22.2968,20.2648,8.61506,19.324,6.98055,15.8989
93,TNFAIP8,5.97248,12.9335,128.994,9.37209,28.0107,10.7572,25.2009,114.787,63.4308,30.4225,0.0
94,TNFSF10,24.8142,72.8703,70.8588,43.2856,37.2177,37.211,16.3129,38.1127,44.5186,27.4538,173.023
95,TRIM68,7.67148,0.048427,2.30429,3.7687699999999995,5.03407,5.86097,0.240721,2.09101,2.8009,7.586539999999999,0.0
96,TSC22D3,7.24202,3.74531,4.66311,24.8325,13.725,8.69121,0.7524390000000001,49.9032,30.3757,13.8279,139.387
97,UBD,0.0,3.378,48.9351,0.0,9.7009,26.4524,41.4485,47.6368,22.4284,3.0099999999999997e-28,0.0
98,UGT2B28,0.0,0.0,0.0,0.9344959999999999,0.0,0.0,0.262825,0.0,0.0,520.496,0.0
99,XBP1,26.3139,222.104,35.0833,183.032,133.375,11.0742,23.6254,35.8761,124.742,195.25900000000001,106.709
100,ZCCHC24,0.75321,0.0,0.0,2.31948,0.0,0.08366749999999999,0.411487,1.33689,1.40477,0.313679,0.0
