,gene_short_name,V515-06187-A1,TNT-231,TNT-134,17-00105-7_S10_cufflinks,TNT-139,TNT-1,TNT-24,17-00099-0_S15_cufflinks,TNT-20,TNT-57,TNT-311
47,IL23A,0.0490073,0.0,0.0,0.0,0.0,0.0712402,0.229037,0.299525,0.0986849,0.0454602,0.0
48,IL33,0.883329,10.9333,2.26428,2.46716,1.02143,0.878771,1.20917,2.63393,10.6749,0.692623,3.43029
49,INPP4B,37.1722,81.5535,7.97554,30.0611,14.4823,63.8126,13.4709,10.0338,100.885,6.03674,11.0164
50,ITM2A,5.13433,66.1656,4.33379,19.0463,5.5162,5.07621,17.2039,12.7708,9.31718,23.561,13.8727
51,JAM2,11.2143,1.47935,8.43175,18.7018,1.85318,2.33896,5.36198,2.30041,7.33381,6.3534,9.94855
52,KCNK5,7.32046,0.587631,2.40978,2.18497,1.02161,0.0888601,3.72339,0.46282,0.0980816,1.77673,0.383991
53,KIAA1324,6.46799,8.24147,11.1121,1.93052,17.5328,1.43479,15.5619,3.25853,31.418,2.57743,7.69644
54,KMO,1.44589,10.9062,1.76828,0.752159,2.22641,0.897208,5.29445,15.1432,14.146,1.47099,0.66819
55,KRT14,118.371,2.55607,397.356,75.4352,495.375,1.22776,11.775,11.9138,210.061,1136.84,7.60157
56,KRT16,91.0343,1.04947,59.6753,52.2307,65.3751,14.0226,156.186,114.52,1116.79,139.312,29.1762
57,KRT17,105.347,55.7271,765.101,336.693,220.483,25.952,237.929,198.33,49.2694,701.986,16.9229
58,KRT6A,54.2242,386.178,247.124,27.6181,172.754,1012.79,12.9195,94.1318,2374.3,57.0774,1.96056
59,KRT6B,86.6584,18.7064,93.2796,8.2555,73.2841,30.132,75.9562,156.107,288.196,140.572,4.66101
60,KYNU,14.7879,78.1365,7.29957,3.08382,2.42706,371.408,11.8771,8.68389,106.761,10.002,6.33676
61,LBP,0.573258,6.15042,2.55761,0.0,0.856867,0.317489,0.114002,1.6406,0.341148,0.338633,0.152207
62,LHFP,2.0952,1.33739,0.766592,7.95848,0.753493,0.81526,1.22997,1.3793,1.57651,1.29417,0.938242
63,MFAP4,1.60954,1.51408,2.89975,23.1121,1.29656,0.564544,4.47361,4.0017,4.79959,5.12276,2.46772
64,MIA,21.0747,0.0,18.0933,1.86336,42.9602,0.406346,9.45441,0.289898,0.284109,0.850025,0.679179
65,MID1,36.2366,82.5869,35.5331,11.2098,13.3447,34.466,24.9344,4.40547,14.5635,33.3046,20.1731
66,MYBL1,4.60362,2.33652,73.735,2.16644,54.0697,1.11174,50.6087,11.605,2.23413,10.4917,35.6761
67,NEK2,17.1321,9.82627,45.783,3.87849,89.38,8.00005,7.70819,26.0897,14.7128,35.0042,26.2121
68,NTN3,0.0235576,0.0,0.0355409,0.0638543,0.0,0.0,0.0,0.0420396,0.0,0.0,0.0
69,OGN,1.27872,9.15397,22.5238,25.744,11.8601,3.94282,7.16578,0.687581,26.1384,16.0085,19.2765
70,PI3,0.0,119.469,1.44304,1.07606,0.749434,1.17309,0.310929,9.48978,4.28964,0.744111,0.104431
71,PLEKHB1,14.583,0.0133431,1.72521,0.847489,1.25768,1.82197,3.86976,1.5546,0.305631,5.52137,0.0
72,PMAIP1,1.62393,9.53519,1.27636,0.531778,5.27086,1.54581,2.36075,2.37763,2.01131,3.21203,4.56386
73,PSMB9,0.0,24.8823,9.68523,0.0,8.61911,51.6017,49.1147,0.0,9.26477,3.98618,4.98019
74,PTGDS,1.49063,1.56648,0.761197,11.2347,3.64368,0.0,2.5061,9.95073,1.01545,0.871184,0.644267
75,RARRES3,10.7933,119.425,17.6937,14.9961,18.0742,214.764,45.1789,10.4301,28.9533,4.60827,11.1266
76,RTP4,0.772275,0.123359,3.88267,1.25012,6.42063,1.68055,8.94065,0.575191,0.251186,3.89184,1.10953
77,S100A1,196.638,0.0,26.7952,0.517951,45.0482,0.0,88.1761,0.167765,3.73478,39.311,2.51417
78,S100A7,6.57916,376.721,0.0,0.777217,7.31966,1.695,4.37861,159.537,115.03,1.07452,305.178
79,S100A8,3.49996,372.79,0.0,0.306788,2.84797,6.86933,6.0969,102.793,113.947,0.912848,25.4144
80,SCRG1,23.222,0.0,18.5708,0.0,0.985764,1.23273,8.62836,0.180404,2.24224,51.566,2.59455
81,SEMA3C,89.189,97.5067,30.8402,36.7929,22.0941,26.6623,11.163,15.1164,90.543,14.4221,13.1071
82,SERHL2,5.02658,3.99712,4.04001,2.4453,2.80262,0.603352,1.56208,11.3393,53.8477,2.41741,2.84307
83,SFRP1,35.3095,2.70922,27.6853,3.78211,15.2094,0.445617,22.0046,0.259724,0.547809,41.9017,36.9399
84,SIDT1,0.909009,8.15287,1.84421,2.94982,1.97089,14.2356,3.34404,14.5501,38.2892,1.0019,1.09508
85,SOX10,3.84721,0.0,4.76922,1.75675,3.85785,0.283338,3.58091,0.0,0.257498,4.40662,0.974734
86,SPDEF,0.141878,3.13514,0.468364,0.0,0.692795,10.6382,0.433642,0.731248,4.70318,0.0267275,0.13159
87,SPRR1B,0.0944781,0.0,0.0,0.0,0.0,5.85202,0.0,6.10713,5.43696,0.428247,0.0
88,SPTLC2,28.7351,25.4481,17.6175,15.1177,99.0664,32.4383,59.4068,46.0317,83.8432,51.2638,32.6182
89,SRPX,12.4869,2.24238,8.93184,10.6326,7.10769,3.72821,5.28882,0.586912,10.2693,7.25335,3.64121
90,TCF7L1,11.751,5.53084,32.592,13.3002,12.025,2.02222,13.9768,6.95985,1.95526,51.5262,9.57248
91,TFAP2B,1.18026,1.15365,1.0816,1.07282,1.54039,0.0,0.236124,1.62638,0.908734,0.631304,0.183917
92,THBS4,8.67223,10.1966,7.51145,4.27227,16.9838,0.761345,4.62645,3.04118,98.0214,6.38016,47.667
93,TNFAIP8,5.97248,21.7562,24.3674,6.5877,18.1646,12.598,29.7009,33.5137,22.5543,12.7164,21.8018
94,TNFSF10,24.8142,21.3015,21.7547,8.1043,42.7781,34.7003,125.454,12.9194,44.2258,14.0494,25.8363
95,TRIM68,7.67148,2.10719,1.0802,2.83981,0.0549879,6.65522,3.02313,2.67702,5.24492,3.50355,1.64633
96,TSC22D3,7.24202,8.55024,2.78973,25.9435,0.42588,19.0169,28.3699,26.8364,28.9779,9.53371,4.78071
97,UBD,0.0,79.92,1.98099,0.0,10.9428,28.7398,82.3521,14.5019,0.769052,1.25475,3.54236
98,UGT2B28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4235,0.803126,0.409168
99,XBP1,26.3139,187.4,59.7946,24.8762,92.5017,50.1395,91.0118,79.0623,40.8036,62.5597,28.2336
100,ZCCHC24,0.75321,0.0315651,1.43079,3.84146,2.05055,0.502634,1.52345,0.100439,1.27769,0.80106,0.539957
