,gene_short_name,V515-06187-A1,TNT-6,TNT-26,TNT-201,17-00160-1_S2Aligned_cufflinks,17-00166-3_S11Aligned_cufflinks,TNT-49,TNT-3,17-00121-8_S12_cufflinks,TNT-18,TNT-115
0,ABCA8,1.07397,9.6574,4.23117,6.476459999999999,0.7198220000000001,0.8668450000000001,46.919,10.6347,43.7288,10.5629,1.17188
1,ADRA2A,0.196819,1.3579299999999999,0.999606,0.195692,0.203424,0.32516300000000004,0.128019,0.0,1.4831299999999998,0.337047,0.172526
2,AKAP12,3.7524300000000004,11.312000000000001,16.1452,12.689,1.14141,3.7136400000000003,3.20903,4.93901,26.8543,10.1055,2.9281200000000003
3,ALDH3B2,34.613,433.61300000000006,2.6644200000000002,8.55663,5.40626,3.38865,9.3486,0.0,14.3473,1.5908799999999998,7.47531
4,APOD,101.54799999999999,13601.3,23.2556,127.635,10.1478,35.2126,473.105,4.43815,574.763,126.366,39.9082
5,ART3,19.2103,0.0,11.4363,64.8882,5.258319999999999,98.6914,31.5205,0.0,0.115521,3.08163,121.99700000000001
6,ASPN,31.1651,106.78,99.8197,46.2732,21.9529,41.3579,46.012,66.6747,30.3876,127.87700000000001,9.31432
7,AZGP1,64.9749,1632.76,8.42855,651.6469999999999,45.7678,376.11699999999996,53.7874,0.147179,177.34599999999998,0.397821,239.31900000000002
8,BLVRB,6.57613,17.4411,1.8821400000000001,2.21732,3.17095,3.4410800000000004,0.257732,4.02661,5.304819999999999,0.272242,3.141
9,C7,0.29143,3.8300199999999998,1.5576299999999998,4.18576,0.7452850000000001,0.843649,3.14767,0.153097,23.1979,11.972999999999999,1.27179
10,CCL5,1.03708,5.02728,0.328596,3.4542599999999997,0.0,4.18384,50.3871,2.4428900000000002,0.0,84.2759,11.9906
11,CD36,36.5005,52.468,27.8522,37.1595,5.95287,4.51973,71.9816,530.381,104.969,68.0838,12.2627
12,CD52,5.15236,20.3981,2.72588,17.2804,12.1882,5.31024,92.3369,73.6417,9.90376,238.27900000000002,76.2585
13,CDC20,19.1111,6.40956,14.2065,15.1737,12.6869,11.8555,4.09511,14.1118,0.207432,11.1176,14.9562
14,CHI3L1,52.4824,0.854684,20.8098,27.7612,40.6979,6.08895,14.0802,0.522526,9.01373,18.0344,32.3937
15,COL2A1,124.822,0.407516,105.473,0.10346400000000001,0.0209768,0.927259,26.9015,9.40723,1.51601,0.0,0.0
16,COL5A1,145.37,210.775,269.70099999999996,60.1661,51.4022,124.721,37.8918,158.422,34.9603,103.64200000000001,23.0038
17,COL5A2,202.313,301.151,409.89,118.01899999999999,114.544,174.918,53.004,712.612,40.3863,167.425,62.6035
18,CRAT,3.09639,270.69,3.7270300000000005,6.1247300000000005,20.0761,5.89456,1.2801200000000001,6.43808,4.42961,4.5315900000000005,2.79293
19,CROT,17.2031,71.4203,5.29179,3.2792,6.76398,7.40678,0.6217159999999999,11.175,20.8255,3.8836800000000005,9.149460000000001
20,CXCL10,2.29941,6.60035,4.175669999999999,34.8583,31.7238,28.1471,73.1395,7.66528,6.51344,196.435,324.884
21,CXCL11,0.642556,0.934983,0.0,7.684660000000001,17.1679,12.1489,12.7646,0.457688,5.3034099999999995,15.9079,47.492
22,CXCL13,0.0413495,1.54946,1.4694,6.53752,5.12899,3.38269,61.183,3.77996,0.26274000000000003,26.3849,92.5893
23,CYP4F8,0.048019099999999995,30.0292,0.0,0.0988321,0.0,0.0,0.0,0.0,0.71787,0.0623461,0.980398
24,DBI,412.371,646.11,99.8671,624.9159999999999,180.298,46.0439,51.5853,204.278,94.8186,120.508,264.715
