,gene_short_name,V515-06187-A1,TNT-281,17-00165-0_S10Aligned_cufflinks,TNT-122,17-00123-8_S16Aligned_cufflinks,17-00127-8_S3Aligned_cufflinks,TNT-311,17-00258-5_S5Aligned_cufflinks,TNT-183,TNT-76,17-00100-2_S17Aligned_cufflinks
0,ABCA8,1.07397,39.0365,16.9844,88.0911,6.17733,5.2732,34.8692,6.53624,3.81267,1.7120799999999998,2.66909
1,ADRA2A,0.196819,0.0,0.861454,0.408986,0.984298,0.0,0.0496502,0.656837,0.0692467,0.216004,0.798061
2,AKAP12,3.7524300000000004,10.6971,6.211130000000001,15.4194,6.51828,1.2662,15.4658,3.78971,8.8469,4.07696,2.76503
3,ALDH3B2,34.613,4.0044699999999995,1.1644700000000001,23.2977,8.4669,3.25937,0.5624600000000001,0.884181,38.4582,1.20211,8.7501
4,APOD,101.54799999999999,0.10930699999999999,126.973,1264.04,38.787,81.4037,582.871,70.1232,180.386,226.99099999999999,62.3337
5,ART3,19.2103,34.497,44.8952,0.293089,1.05535,34.0727,379.806,93.7437,0.0,61.9652,1.8053599999999999
6,ASPN,31.1651,7.35584,13.6802,81.4283,60.2143,0.0,46.0267,3.7960000000000003,31.8742,61.5295,28.774
7,AZGP1,64.9749,48.4283,200.774,235.84599999999998,11.2503,195.738,580.643,121.947,358.98699999999997,279.97,6.16124
8,BLVRB,6.57613,0.0,4.50545,2.1386700000000003,2.48037,0.0,0.5977600000000001,2.68466,6.526619999999999,2.58846,1.9429400000000001
9,C7,0.29143,18.9547,14.7516,112.07600000000001,11.3646,0.0,8.6817,10.2181,4.1618900000000005,0.703238,1.22548
10,CCL5,1.03708,6.88903,12.1232,4.87955,10.7819,0.0,2.70085,0.0,5.8518300000000005,10.1325,10.7786
11,CD36,36.5005,17.1781,83.1513,122.99799999999999,14.5033,0.0,25.2541,28.5228,18.5522,9.871830000000001,9.62158
12,CD52,5.15236,13.2159,40.0504,124.007,18.0695,0.0,21.335,18.8695,27.578000000000003,16.4339,8.39226
13,CDC20,19.1111,44.7677,9.73773,0.59246,27.82,19.4809,8.48748,23.2123,14.1964,20.9927,16.0755
14,CHI3L1,52.4824,10.2393,37.6528,13.0996,3.6709,3.8606199999999995,0.922415,33.0192,7.0212699999999995,11.3194,6.07407
15,COL2A1,124.822,6.1441099999999995,1.3761700000000001,0.8434200000000001,0.522,9.34079,0.0,1.45759,0.157197,8.18038,1.0013
16,COL5A1,145.37,57.647,43.5904,117.70299999999999,137.917,74.985,45.4507,34.1131,128.517,128.055,75.7083
17,COL5A2,202.313,29.8201,65.8261,98.3706,174.571,26.139,72.8625,47.3189,149.547,199.463,115.303
18,CRAT,3.09639,0.0595784,5.4019,12.8588,4.87752,0.737631,0.434016,7.21592,7.317130000000001,7.599480000000001,1.6138700000000001
19,CROT,17.2031,6.07646,8.936739999999999,15.5807,18.6583,21.1361,4.08553,10.1169,25.6105,11.5114,12.8803
20,CXCL10,2.29941,63.3418,19.6909,3.21177,30.3093,14.1618,27.689,16.6569,40.563,59.3069,33.681
21,CXCL11,0.642556,0.8563930000000001,7.802810000000001,1.2700799999999999,15.3951,0.0,5.85182,7.99702,9.919780000000001,14.2748,13.7347
22,CXCL13,0.0413495,61.5422,17.615,41.2549,14.290999999999999,0.0,5.80727,2.88489,8.31043,23.8366,12.9616
23,CYP4F8,0.048019099999999995,1.1115700000000002,0.362664,5.13195,0.09912339999999999,0.0,0.149097,0.0,0.134864,0.0,0.0
24,DBI,412.371,104.124,113.507,132.105,64.7748,94.0731,155.366,166.079,253.44400000000002,80.9435,82.3534
25,DEFB1,3.16262,0.755909,0.49630100000000005,2.30633,0.544689,0.0,5.24034,1.93523,5.7662,0.967678,2.1062
26,DHCR24,38.1374,11.9895,28.1741,40.2215,53.6317,9.27006,2.58974,27.1696,409.418,38.0718,60.8572
27,DUSP5,2.6614299999999997,1.57865,3.21569,7.6909600000000005,8.27994,2.0363,1.8477,2.8326,10.1188,3.34565,2.8738
28,FABP7,2.25652,59.3406,1.89392,1.3582100000000001,0.668057,4.2431,0.259635,2.60242,4.46561,0.09458,10.515999999999998
29,FASN,124.609,21.6485,103.23200000000001,23.2501,147.439,36.2518,3.6021400000000003,68.8053,208.173,28.3466,77.1645
30,FGFR4,2.32432,10.5211,2.18025,13.4066,7.51737,0.755862,0.0657728,0.316761,1.83149,3.80263,1.22252
31,FGL2,2.48121,6.78257,11.3333,7.33065,8.57437,0.059887300000000004,6.20109,6.2340599999999995,2.3698900000000003,6.1744900000000005,8.12208
32,FOXA1,1.38574,1.55029,2.3287299999999997,51.809,4.29772,5.49379,0.9381450000000001,5.23722,131.475,3.33958,0.46939899999999996
33,FOXC1,9.10755,8.70012,49.3215,10.7241,131.829,26.7646,33.2057,38.8687,1.07673,12.8646,88.3177
34,GABRP,8.66089,175.713,213.666,29.9995,277.334,223.362,590.01,475.426,4.11811,1458.83,227.37099999999998
35,GALNT7,12.4003,8.255519999999999,30.3282,167.87900000000002,26.1286,27.8541,14.3397,23.3908,37.4187,15.4459,18.5846
36,GBP1,41.394,535.638,174.017,42.1939,185.822,162.607,62.836000000000006,98.34700000000001,292.732,210.72400000000002,194.71900000000002
37,GCHFR,0.42253100000000005,0.0,0.13203900000000002,0.0,0.7959890000000001,0.857477,0.0,0.326596,0.376676,0.0,0.19724
38,GPR87,0.9514879999999999,0.519255,0.09515549999999999,4.2657,0.40366199999999997,3.83835,31.4702,0.07417230000000001,3.20705,2.75671,0.9885799999999999
39,GZMB,1.4986,6.77791,23.5314,0.0,8.73698,0.0,2.90159,9.66196,3.32715,6.6532,8.62832
40,HGD,4.21735,8.127139999999999,1.4383299999999999,106.495,0.826148,27.7859,0.23399499999999998,9.84492,30.1309,0.21181,0.449058
41,HTRA1,91.2943,9.95982,52.5467,61.1959,151.22299999999998,2.7259,73.8052,30.3202,35.1959,69.2555,55.8889
42,IDO1,0.29142399999999996,24.7108,16.5229,1.45754,13.8538,0.0,1.6902700000000002,8.022,16.4467,18.8168,48.9137
43,IGFBP4,13.3498,0.5106609999999999,20.4877,4.318980000000001,18.2695,8.38525,0.9239069999999999,18.7336,4.128080000000001,3.32934,18.1202
44,IGHM,55.218999999999994,213.67,0.0,149.828,0.0,117.986,11.8723,0.0,158.059,245.813,0.0
45,IGJ,20.0186,378.825,254.797,391.611,136.656,38.8323,167.984,229.52599999999998,56.6484,103.539,238.87599999999998
