,gene_short_name,V515-06187-A1,TNT-100,17-00141-7_S14Aligned_cufflinks,TNT-92,TNT-76,17-00118-2_S5Aligned_cufflinks,TNT-218,17-00132-8_S16Aligned_cufflinks,TNT-82,TNT-267,TNT-1
77,S100A1,196.638,17.2424,76.9885,8.06103,2.02478,3.69956,2.1712599999999997,0.0,6.23529,0.0,0.0
78,S100A7,6.579160000000001,90.8251,1.7232900000000002,9.78629,1.7490299999999999,37.0075,6.70688,8.466339999999999,11.175999999999998,0.0,1.695
79,S100A8,3.4999599999999997,24.8285,0.295455,17.065,8.5793,37.781,5.3621300000000005,2.52279,8.25177,7.82419,6.869330000000001
80,SCRG1,23.221999999999998,0.134701,0.362433,0.673348,0.15075,0.0,2.0477,0.0,16.9336,0.0,1.2327299999999999
81,SEMA3C,89.189,25.4714,75.3746,67.1468,31.7132,46.8309,54.7683,23.1293,59.9662,22.9813,26.6623
82,SERHL2,5.02658,1.91457,5.89006,1.4759200000000001,2.36334,9.31367,0.398353,10.0127,6.880610000000001,7.636589999999999,0.603352
83,SFRP1,35.3095,18.3509,6.9682,20.5385,10.8045,13.2394,9.11303,0.651243,11.0022,0.0948535,0.445617
84,SIDT1,0.9090090000000001,6.621589999999999,5.71251,3.7080900000000003,2.9025,21.2172,10.4605,8.83893,1.21553,14.4285,14.2356
85,SOX10,3.84721,1.58692,5.33047,0.205921,4.684069999999999,6.1676,0.09406239999999999,0.18970599999999999,2.68954,0.824018,0.28333800000000003
86,SPDEF,0.141878,0.40413899999999997,1.26166,0.113258,0.0,1.19861,0.0,0.0,0.0,0.0,10.6382
87,SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.0,7.156569999999999,0.0,0.0,5.8520199999999996
88,SPTLC2,28.7351,47.0239,37.3209,34.9804,40.9352,10.1009,33.454,23.3392,31.9076,7.865289999999999,32.4383
89,SRPX,12.4869,3.69887,4.7557599999999995,6.28365,8.16291,7.353160000000001,0.6244350000000001,11.9724,3.4502,0.0,3.72821
90,TCF7L1,11.751,12.9741,12.9167,11.4878,26.0239,15.4859,16.0211,7.31608,5.74527,6.91885,2.02222
91,TFAP2B,1.18026,0.287497,2.2997099999999997,1.46155,0.0480311,10.5496,0.0511936,0.0,0.378274,53.7207,0.0
92,THBS4,8.67223,8.393239999999999,0.9029379999999999,20.4333,26.1723,0.844511,4.25511,9.82158,5.24717,1.26627,0.7613449999999999
93,TNFAIP8,5.97248,48.5812,10.2742,27.0821,13.5345,12.507,37.9827,25.2074,12.5866,29.2799,12.597999999999999
94,TNFSF10,24.8142,108.079,8.05405,52.0291,11.8922,13.4055,30.9646,8.998339999999999,9.16731,1.91878,34.7003
95,TRIM68,7.67148,0.272175,5.42481,2.9636,1.4648700000000001,0.51408,3.6204699999999996,1.5954700000000002,0.680226,0.0,6.65522
96,TSC22D3,7.24202,10.1657,12.8591,13.8093,27.685,41.9399,13.5572,18.3978,16.1831,0.0,19.0169
97,UBD,0.0,41.9058,0.0,81.9667,15.4731,0.0,85.5883,13.8943,1.03575,1.80293,28.7398
98,UGT2B28,0.0,0.0,0.0,0.0313859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,XBP1,26.3139,163.35,63.0414,44.0054,64.7398,82.6609,25.345,45.1453,13.4489,5.91547,50.1395
100,ZCCHC24,0.75321,0.65349,3.65675,0.674429,1.41876,1.23345,0.351457,3.27612,0.289876,0.0,0.502634
