,gene_short_name,V515-06187-A1,TNT-141,17-00163-6_S7Aligned_cufflinks,TNT-138,TNT-210,TNT-311,TNT-45,TNT-197,17-00097-1_S9_cufflinks,TNT-275,TNT-81
0,ABCA8,1.07397,68.4435,0.7701479999999999,12.6791,9.09564,34.8692,69.6238,3.13417,2.1075,4.6609,1.02282
1,ADRA2A,0.196819,1.30754,0.0657186,1.91297,0.335962,0.0496502,0.0861151,0.245942,0.13051500000000002,0.629714,0.0734277
2,AKAP12,3.7524300000000004,7.146210000000001,1.2357,7.20418,6.16654,15.4658,3.04989,8.951210000000001,1.87044,4.96091,3.7395099999999997
3,ALDH3B2,34.613,2.52334,2.97506,12.4995,8.86323,0.5624600000000001,0.95725,1.98131,8.43554,4.76105,3.9866300000000003
4,APOD,101.54799999999999,265.92900000000003,57.5143,27.4739,9.57364,582.871,41.6221,62.4847,0.669381,27.9631,14.2743
5,ART3,19.2103,0.0,80.791,0.47330600000000006,1.0016399999999999,379.806,13.519,4.63307,4.5019599999999995,30.6309,495.44800000000004
6,ASPN,31.1651,101.719,20.2771,46.9364,7.55605,46.0267,28.9929,53.4652,10.6442,30.936,10.681
7,AZGP1,64.9749,113.574,59.9678,30.0339,22.0424,580.643,34.8083,1.52872,33.7457,0.675944,482.125
8,BLVRB,6.57613,1.96374,8.241610000000001,9.23049,2.0960099999999997,0.5977600000000001,0.760424,1.6159999999999999,3.99175,0.581462,1.83979
9,C7,0.29143,3.17775,1.01661,0.29318,64.0085,8.6817,0.936934,0.729716,2.0205599999999997,4.90062,0.195679
10,CCL5,1.03708,13.5378,0.0,5.65268,4.16558,2.70085,1.6864,19.9773,0.0,15.9024,8.62397
11,CD36,36.5005,83.8034,19.9552,30.2316,32.1363,25.2541,35.4874,38.1309,29.5541,28.1601,13.4593
12,CD52,5.15236,19.6056,4.53303,35.721,785.451,21.335,10.8174,30.7753,10.8883,41.958,16.5691
13,CDC20,19.1111,0.047745800000000005,33.2568,7.318789999999999,11.3893,8.48748,8.45575,16.499000000000002,35.847,12.0694,22.4607
14,CHI3L1,52.4824,0.177651,183.889,4.73091,6.51311,0.922415,22.6098,25.4191,14.2367,67.2472,147.222
15,COL2A1,124.822,0.0,8.5081,28.685,0.364705,0.0,42.1761,0.0496131,0.21441,0.23309499999999997,0.299693
16,COL5A1,145.37,76.7943,40.8437,104.083,4.59031,45.4507,30.6618,33.6054,99.7165,48.0836,24.3791
17,COL5A2,202.313,68.5018,41.0361,180.77900000000002,6.9018,72.8625,58.7905,53.8271,49.6067,82.2014,58.7019
18,CRAT,3.09639,17.8855,9.7429,21.3933,1.0836700000000001,0.434016,1.07721,3.01341,8.16269,2.18717,2.0533799999999998
19,CROT,17.2031,5.49525,5.1833,25.7858,22.811,4.08553,5.64661,2.8917,4.92995,6.23139,4.48754
20,CXCL10,2.29941,28.4844,24.1237,27.7287,18.9374,27.689,43.0563,68.2187,14.6049,69.4529,121.374
21,CXCL11,0.642556,17.67,1.88411,11.7097,5.3872800000000005,5.85182,13.4844,11.7024,2.5685700000000002,15.7259,8.79376
