,gene_short_name,V515-06187-A1,17-00163-6_S7Aligned_cufflinks,TNT-24,TNT-326,TNT-3,17-00252-2_S13Aligned_cufflinks,TNT-94,TNT-44,TNT-209,TNT-282,17-00270-5_S14Aligned_cufflinks
24,DBI,412.371,307.908,169.278,65.8549,204.278,141.197,186.812,108.177,62.2924,94.6861,458.192
25,DEFB1,3.16262,0.14658,2.59478,0.0,0.0,0.207869,0.0,0.977303,7.68559,39.0385,2.34702
26,DHCR24,38.1374,62.1057,37.4488,11.0616,14.8069,108.111,5.51588,7.28549,12.4287,103.38,130.198
27,DUSP5,2.66143,0.552712,10.3833,1.65224,3.81803,1.75253,11.9441,6.42948,13.6718,1.47901,3.94306
28,FABP7,2.25652,5.85038,0.489068,13.8638,0.0,7.67591,234.221,1.81101,0.385028,254.779,202.65
29,FASN,124.609,95.661,41.3008,7.60798,17.1223,636.474,12.7001,6.20384,2.64918,13.0917,778.483
30,FGFR4,2.32432,4.11049,2.47027,0.0,0.748303,12.591,0.0,0.634329,0.229108,0.356516,0.55462
31,FGL2,2.48121,1.78384,8.67615,5.61145,7.67522,5.83078,4.01329,7.86297,18.6347,10.6796,10.955
32,FOXA1,1.38574,0.108081,1.60243,9.37556,0.458748,154.413,52.9129,4.48069,0.921874,6.46327,98.2355
33,FOXC1,9.10755,78.4953,88.3583,19.3417,14.4609,3.43366,8.84632,20.1979,6.7351,17.1276,1.00065
34,GABRP,8.66089,542.833,896.727,493.65,0.106364,1.59203,392.793,162.789,463.373,471.699,1.14783
35,GALNT7,12.4003,33.3183,24.1949,18.1204,30.9222,105.712,59.2443,8.8823,15.0174,26.6716,43.2333
36,GBP1,41.394,46.4511,317.85,518.463,25.9257,66.9108,17.1528,181.968,181.239,203.558,151.737
37,GCHFR,0.422531,0.465567,0.280473,0.0,0.0,0.55625,0.0,0.0,0.152916,0.0,2.04171
38,GPR87,0.951488,0.133773,4.14233,0.820931,0.823973,0.048275,3.501,3.86145,0.611755,2.89692,1.74747
39,GZMB,1.4986,1.03451,18.8047,4.26578,0.08602,2.13779,0.0,1.57691,12.1013,3.24596,6.61711
40,HGD,4.21735,24.1865,3.29947,0.946356,2.09291,138.276,0.0,2.59817,0.0,10.2078,27.7762
41,HTRA1,91.2943,14.6065,59.9396,7.84756,135.755,49.4055,4.24438,135.477,4.80522,4.14392,156.508
42,IDO1,0.291424,1.14673,44.933,17.2985,0.955533,3.06081,0.0,11.717,40.1029,39.4807,19.0683
43,IGFBP4,13.3498,4.64398,5.12951,1.0725,1.3785,13.3171,1.46345,6.03804,0.523827,0.515297,22.6642
44,IGHM,55.219,18.7739,187.014,250.338,2.26941,0.0,5.60384,50.9729,143.454,466.114,377.424
45,IGJ,20.0186,13.3345,472.398,141.021,3.71254,328.423,0.571862,252.016,278.422,419.336,149.074
46,IGKC,182.346,961.871,11973.6,5790.14,14.9245,6002.41,84.4972,928.331,1074.44,4173.32,8345.27
47,IL23A,0.0490073,0.0545834,0.229037,0.0,0.0,0.314108,0.0,0.0,0.0,0.0,0.0
48,IL33,0.883329,0.150471,1.20917,1.2426,0.206585,3.52174,0.0,10.2893,11.9004,7.39602,1.67979
49,INPP4B,37.1722,6.14113,13.4709,14.8552,8.7244,20.183,29.8417,35.38,56.2819,3.2087,53.969
50,ITM2A,5.13433,2.36489,17.2039,2.49321,17.8944,17.6302,0.0,43.8775,31.2676,28.7268,6.66802
51,JAM2,11.2143,1.97447,5.36198,4.36864,12.8064,11.0531,0.0,28.1835,8.83228,1.80038,14.5784
