,gene_short_name,V515-06187-A1,17-00280-7_S4Aligned_cufflinks,TNT-76,TNT-204,TNT-310,TNT-259,17-00141-7_S14Aligned_cufflinks,TNT-16,TNT-33,TNT-139,17-00252-2_S13Aligned_cufflinks
85,SOX10,3.84721,0.0778642,4.684069999999999,0.0,0.328327,0.0,5.33047,0.07225039999999999,2.78625,3.85785,0.07534919999999999
86,SPDEF,0.141878,12.1178,0.0,5.67909,0.0370245,0.0,1.26166,16.2187,7.13518,0.6927949999999999,26.3392
87,SPRR1B,0.09447810000000001,0.0,0.0,1.1117299999999999,0.118248,0.0,0.0,0.0,0.0,0.0,0.0
88,SPTLC2,28.7351,55.1443,40.9352,38.3141,30.5086,51.5029,37.3209,298.634,86.3208,99.0664,45.0153
89,SRPX,12.4869,1.21131,8.16291,1.8813099999999998,3.37921,6.798030000000001,4.7557599999999995,10.7163,4.34368,7.10769,2.65072
90,TCF7L1,11.751,5.660909999999999,26.0239,2.498,5.79892,2.74681,12.9167,6.46698,13.4634,12.025,5.74571
91,TFAP2B,1.18026,14.087,0.0480311,27.5623,0.42090500000000003,0.0328593,2.2997099999999997,34.228,0.0871335,1.54039,22.5216
92,THBS4,8.67223,4.36571,26.1723,52.0386,3.69999,13.4075,0.9029379999999999,10.0685,74.9931,16.9838,15.5802
93,TNFAIP8,5.97248,16.454,13.5345,55.4688,21.7827,33.4226,10.2742,28.6406,59.3159,18.1646,11.3768
94,TNFSF10,24.8142,132.384,11.8922,27.04,30.3236,54.1136,8.05405,158.82,46.6286,42.7781,41.5292
95,TRIM68,7.67148,8.45792,1.4648700000000001,2.84899,3.6598900000000003,1.6202299999999998,5.42481,5.53874,2.4750900000000002,0.0549879,5.67096
96,TSC22D3,7.24202,9.54262,27.685,16.317999999999998,11.0228,17.584,12.8591,35.7546,29.4275,0.42588000000000004,17.9219
97,UBD,0.0,0.0,15.4731,35.4542,94.0798,86.1823,0.0,2.0899999999999995e-27,47.994,10.9428,0.0
98,UGT2B28,0.0,0.10263800000000001,0.0,0.49240600000000007,0.318409,0.0,0.0,4.88119,0.165279,0.0,1.4067
99,XBP1,26.3139,304.504,64.7398,341.116,28.2853,27.2668,63.0414,282.606,141.18,92.5017,392.314
100,ZCCHC24,0.75321,0.520663,1.41876,1.14291,0.14841,0.0,3.65675,2.6722099999999998,1.07989,2.05055,1.66041
