,gene_short_name,V515-06187-A1,17-00159-1_S1Aligned_cufflinks,TNT-157,TNT-133,TNT-50,TNT-94,TNT-270,TNT-79,17-00131-5_S8Aligned_cufflinks,TNT-121,TNT-183
90,TCF7L1,11.751,7.08186,19.2652,1.12875,8.4502,8.26598,1.81681,4.14436,38.0919,11.4588,15.0091
91,TFAP2B,1.18026,0.0,0.0,19.6431,6.84501,19.4703,69.5657,0.0,0.0,0.0,12.5701
92,THBS4,8.67223,1.58316,10.2009,129.305,6.72779,6.38352,6.98055,2.09436,0.588586,30.4901,8.89122
93,TNFAIP8,5.97248,14.9388,37.2349,6.36265,16.5976,10.5429,30.4225,18.9576,18.0039,7.65783,22.5994
94,TNFSF10,24.8142,22.6113,37.5497,49.6478,21.0228,35.5034,27.4538,25.2807,282.779,34.2835,69.7579
95,TRIM68,7.67148,2.67506,0.674364,5.30821,2.09031,0.0,7.58654,3.06815,5.80985,0.305368,3.20096
96,TSC22D3,7.24202,6.06061,9.78657,33.7243,16.4595,12.0391,13.8279,10.0686,4.80127,15.8148,19.8955
97,UBD,0.0,0.0,30.8208,3.40397,1.46836,80.8682,3.01e-28,13.958,36.2625,0.669742,9.87965
98,UGT2B28,0.0,0.0552717,0.532721,0.0,0.036528,0.0529599,520.496,0.0703226,0.103177,13.3265,23.7089
99,XBP1,26.3139,111.005,51.8027,168.671,53.3026,38.7536,195.259,53.1686,41.0862,33.0322,278.695
100,ZCCHC24,0.75321,0.399621,1.25974,3.33165,2.49551,0.0,0.313679,0.00902465,0.866055,0.183032,2.17403
