,gene_short_name,V515-06187-A1,17-00113-4_S11_cufflinks,TNT-41,TNT-133,TNT-54,TNT-82,17-00125-8_S13Aligned_cufflinks,TNT-202,TNT-283,TNT-310,TNT-115
79,S100A8,3.4999599999999997,5.84994,2.234,0.0,0.8787149999999999,8.25177,17.6617,2.47669,1.97965,160.404,96.5914
80,SCRG1,23.221999999999998,0.0855807,5.2875,0.08771330000000001,1.55734,16.9336,0.0,15.2656,0.09951310000000001,0.0,0.127307
81,SEMA3C,89.189,31.7723,23.3876,120.15799999999999,21.6573,59.9662,33.3766,32.5006,4.05474,20.3951,9.35257
82,SERHL2,5.02658,1.81287,3.43356,15.5356,1.8330400000000002,6.880610000000001,44.4878,0.991125,18.7518,2.09642,5.03873
83,SFRP1,35.3095,1.9379099999999998,38.3568,8.57477,14.4536,11.0022,9.57648,4.3348,0.0,1.07838,4.03801
84,SIDT1,0.9090090000000001,1.03892,1.50153,19.9844,21.7554,1.21553,10.0237,2.41152,23.4269,3.3972300000000004,8.53938
85,SOX10,3.84721,1.62839,1.1078299999999999,0.0,1.61582,2.68954,3.93353,0.7131270000000001,0.0,0.328327,0.812829
86,SPDEF,0.141878,0.0,0.0,3.02298,0.788334,0.0,3.7916800000000004,0.0501171,7.9692,0.0370245,0.27778
87,SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.731959,0.0,0.118248,0.0
88,SPTLC2,28.7351,37.4772,40.6695,69.4324,78.933,31.9076,31.9106,23.592,46.537,30.5086,74.6543
89,SRPX,12.4869,4.32891,9.47686,4.51251,12.1905,3.4502,11.315999999999999,2.13951,2.36183,3.37921,1.54925
90,TCF7L1,11.751,12.1978,44.3834,1.12875,5.8485,5.74527,17.9877,12.4548,0.731486,5.79892,3.03016
91,TFAP2B,1.18026,0.300197,0.41227600000000003,19.6431,13.5869,0.378274,3.9222699999999997,0.043904900000000004,0.851188,0.42090500000000003,0.0
92,THBS4,8.67223,2.00873,16.1641,129.305,94.12100000000001,5.24717,17.7867,9.82113,4.76762,3.69999,5.97353
93,TNFAIP8,5.97248,12.079,13.7256,6.36265,40.9456,12.5866,11.2917,11.4387,12.5094,21.7827,44.1196
94,TNFSF10,24.8142,20.4693,115.984,49.6478,35.323,9.16731,18.0064,53.0847,30.3826,30.3236,75.9663
95,TRIM68,7.67148,2.78882,4.9053,5.30821,1.61214,0.680226,18.792,2.2568799999999998,5.22976,3.6598900000000003,2.44961
96,TSC22D3,7.24202,6.2024,15.5388,33.7243,38.0792,16.1831,28.8027,5.32342,61.7873,11.0228,16.9798
97,UBD,0.0,57.6173,9.98192,3.4039699999999997,33.4749,1.03575,0.0,19.2552,6.55876,94.0798,76.5536
98,UGT2B28,0.0,0.0,0.0847062,0.0,0.0,0.0,0.39282100000000003,0.0,2.7391900000000002,0.318409,0.0
99,XBP1,26.3139,31.089000000000002,23.1296,168.671,99.5383,13.4489,63.70399999999999,36.7108,377.60400000000004,28.2853,97.6865
100,ZCCHC24,0.75321,0.503292,0.70298,3.33165,0.589845,0.289876,5.1231800000000005,0.0990294,0.290128,0.14841,0.691361
