,gene_short_name,V515-06187-A1,TNT-113,17-00252-2_S13Aligned_cufflinks,TNT-133,TNT-217,TNT-201,17-00121-8_S12_cufflinks,TNT-283,TNT-311,17-00143-5_S2Aligned_cufflinks,TNT-49
20,CXCL10,2.29941,290.819,17.8862,6.53556,41.7207,34.8583,6.51344,57.2712,27.689,5.9346,73.1395
21,CXCL11,0.642556,36.1052,3.95835,0.0,15.1105,7.684660000000001,5.3034099999999995,9.65099,5.85182,1.10673,12.7646
22,CXCL13,0.0413495,155.442,5.9954,4.97297,157.641,6.53752,0.26274000000000003,30.5927,5.80727,4.2982,61.183
23,CYP4F8,0.048019099999999995,0.0,0.20556999999999997,0.0,0.0,0.0988321,0.71787,0.368212,0.149097,3.67657,0.0
24,DBI,412.371,147.908,141.197,172.40099999999998,54.1796,624.9159999999999,94.8186,168.356,155.366,114.67399999999999,51.5853
25,DEFB1,3.16262,0.0,0.207869,0.41695600000000005,0.0,2.52093,1.3957899999999999,0.8576389999999999,5.24034,12.7599,0.0
26,DHCR24,38.1374,9.0368,108.111,64.1324,1.9453900000000002,19.4007,39.1465,46.4939,2.58974,140.125,31.3659
27,DUSP5,2.6614299999999997,6.14911,1.75253,0.0,6.536919999999999,3.4079599999999997,11.8711,2.6326099999999997,1.8477,5.98185,5.478680000000001
28,FABP7,2.25652,0.048168800000000005,7.675910000000001,0.0,1.1618700000000002,0.46985200000000005,2.92749,0.521183,0.259635,0.0,0.829984
29,FASN,124.609,2.73138,636.474,36.0783,8.13079,22.2212,36.53,22.4823,3.6021400000000003,264.185,37.1964
30,FGFR4,2.32432,0.0,12.591,0.416916,3.89774,0.47448199999999996,0.8715860000000001,0.42262,0.0657728,37.3663,0.0
31,FGL2,2.48121,14.189,5.83078,10.1991,24.3703,2.43645,12.79,4.1031699999999995,6.20109,0.907804,7.103689999999999
32,FOXA1,1.38574,0.184148,154.41299999999998,101.26700000000001,0.0,3.7643400000000002,58.3932,135.889,0.9381450000000001,143.36,23.1953
33,FOXC1,9.10755,38.9412,3.4336599999999997,0.0,5.21185,38.1223,19.229,3.01998,33.2057,3.12932,14.3622
34,GABRP,8.66089,427.715,1.5920299999999998,0.0,12.3893,223.33,89.7943,1.8258599999999998,590.01,22.4545,498.221
35,GALNT7,12.4003,32.677,105.712,89.2718,27.3677,8.396339999999999,23.2172,80.39,14.3397,59.9791,21.4797
36,GBP1,41.394,282.29,66.9108,79.0541,212.554,125.751,148.097,95.4322,62.836000000000006,23.1936,257.26599999999996
37,GCHFR,0.42253100000000005,0.0,0.55625,0.8878870000000001,0.383667,0.23903600000000003,0.19197,0.0,0.0,0.606169,0.118621
38,GPR87,0.9514879999999999,0.0,0.048275,0.0,1.7766400000000002,8.07324,1.04821,1.1195700000000002,31.4702,0.0,0.0
39,GZMB,1.4986,37.6163,2.1377900000000003,0.114792,16.9195,2.32191,0.501315,0.77617,2.90159,2.22425,7.11879
40,HGD,4.21735,0.0,138.276,0.0,0.0,9.236989999999999,6.06733,6.59139,0.23399499999999998,12.1696,0.0
41,HTRA1,91.2943,22.529,49.4055,57.5539,10.9488,69.6793,107.586,30.5015,73.8052,10.2802,33.8866
42,IDO1,0.29142399999999996,39.3203,3.06081,0.0,21.7554,6.721989999999999,1.6029,3.09202,1.6902700000000002,2.11836,0.588023
43,IGFBP4,13.3498,2.82959,13.3171,10.6492,0.823572,3.59441,40.6251,0.49661000000000005,0.9239069999999999,2.56719,3.3940099999999997
44,IGHM,55.218999999999994,268.14799999999997,0.0,144.781,902.7230000000001,111.221,0.0,5.19747,11.8723,19.4641,353.006
45,IGJ,20.0186,155.94,328.423,651.057,400.73,71.1984,1857.11,27.8626,167.984,4.32342,545.047
46,IGKC,182.34599999999998,5559.58,6002.41,3728.87,4419.39,2074.26,5230.68,801.068,654.382,62.7069,3743.13
47,IL23A,0.049007300000000004,0.0,0.314108,0.243693,0.0,0.0,0.0,0.0,0.0,0.0,0.890747
48,IL33,0.8833290000000001,1.15545,3.5217400000000003,3.54569,7.435289999999999,2.09151,15.1477,0.5539649999999999,3.4302900000000003,0.40103,0.0
49,INPP4B,37.1722,46.5469,20.183,9.4802,64.1763,7.499910000000001,42.4202,12.8883,11.0164,21.6831,34.4208
50,ITM2A,5.13433,24.0381,17.6302,5.674119999999999,54.1887,9.830110000000001,109.881,9.52588,13.8727,2.56933,11.7709
51,JAM2,11.2143,3.97831,11.0531,8.22675,6.64111,5.2201699999999995,43.4717,0.335613,9.94855,0.444035,7.401839999999999
52,KCNK5,7.320460000000001,0.340533,0.294427,0.0,0.535433,1.1265100000000001,0.897058,0.207736,0.38399099999999997,0.149882,0.0
53,KIAA1324,6.46799,22.8026,126.189,116.535,8.98162,17.717,51.9074,38.4246,7.696439999999999,89.5923,21.4507
