,gene_short_name,V515-06187-A1,TNT-209,TNT-328,TNT-121,TNT-50,17-00105-7_S10_cufflinks,TNT-297,TNT-69,TNT-304,TNT-201,TNT-154
19,CROT,17.2031,9.5381,8.11488,9.7,5.88813,13.6305,7.72068,4.64999,4.93747,3.2792,14.3596
20,CXCL10,2.29941,44.9135,8.52238,25.2886,15.6837,3.53507,13.1438,83.8667,191.918,34.8583,33.6507
21,CXCL11,0.642556,11.491,0.0,0.0,1.43911,1.68925,3.98929,1.3225,27.7435,7.68466,4.87385
22,CXCL13,0.0413495,48.6593,0.0,0.0,5.55664,1.16042,8.68471,5.60261,38.1041,6.53752,0.332221
23,CYP4F8,0.0480191,0.0,0.0,0.464837,0.310565,0.0,0.375541,0.54584,0.0,0.0988321,0.0
24,DBI,412.371,62.2924,61.6366,121.927,139.829,24.5286,174.365,110.56,151.897,624.916,147.326
25,DEFB1,3.16262,7.68559,3.21684,0.0,10.9841,0.0,0.352438,0.0,3.25182,2.52093,0.0
26,DHCR24,38.1374,12.4287,9.57038,7.18474,61.7799,10.2971,29.6213,10.5851,9.19186,19.4007,11.695
27,DUSP5,2.66143,13.6718,3.33009,0.0,4.47715,7.98056,5.90178,1.88482,0.5457,3.40796,2.10403
28,FABP7,2.25652,0.385028,7.26256,6.4989,0.0,0.132922,5.60352,31.3579,18.7847,0.469852,0.357028
29,FASN,124.609,2.64918,4.8363,4.28607,57.4616,33.3583,8.58678,5.36818,2.77579,22.2212,52.6081
30,FGFR4,2.32432,0.229108,0.0,0.156723,1.32382,6.27721,0.82198,3.41509,0.0,0.474482,0.327716
31,FGL2,2.48121,18.6347,13.4369,4.59367,5.51389,1.65977,3.83394,2.24482,4.1749,2.43645,4.60628
32,FOXA1,1.38574,0.921874,3.16782,0.0,1.90232,2.09953,0.9985,0.252733,2.88396,3.76434,0.0
33,FOXC1,9.10755,6.7351,11.1992,31.2379,39.9886,8.20116,61.5935,33.4287,23.4572,38.1223,26.0512
34,GABRP,8.66089,463.373,13.0795,14.2934,23.6083,25.1786,116.867,723.575,963.374,223.33,827.906
35,GALNT7,12.4003,15.0174,0.875309,5.89062,11.5386,11.0325,16.3671,15.0502,22.0505,8.39634,27.9426
36,GBP1,41.394,181.239,22.652,175.529,71.5431,291.445,144.925,128.634,130.413,125.751,106.422
37,GCHFR,0.422531,0.152916,0.0,0.0,0.20549,0.0,0.145981,0.0870739,0.0,0.239036,0.0
38,GPR87,0.951488,0.611755,0.0,2.2259,4.06842,0.160558,1.51442,2.20498,11.4268,8.07324,7.91863
39,GZMB,1.4986,12.1013,0.0,0.0918933,2.96307,1.21038,1.0732,2.27449,2.90341,2.32191,16.5766
40,HGD,4.21735,0.0,9.04949,2.93827,2.01073,10.301,7.77662,0.0599395,0.424599,9.23699,0.0
41,HTRA1,91.2943,4.80522,22.5486,51.2061,121.513,146.353,50.6764,27.0333,30.6134,69.6793,15.4234
42,IDO1,0.291424,40.1029,4.34852,1.02489,8.63063,1.67701,2.3577,2.31777,6.73041,6.72199,0.0
43,IGFBP4,13.3498,0.523827,1.25259,13.2206,3.08424,52.3011,2.95592,0.690966,0.532935,3.59441,0.0520306
44,IGHM,55.219,143.454,18.2147,5.04659,119.376,0.0,8.56503,26.5525,58.2375,111.221,104.776
45,IGJ,20.0186,278.422,28.6686,0.109246,101.14,234.137,5.5107,138.646,358.417,71.1984,46.9569
46,IGKC,182.346,1074.44,73.3224,29.2,1160.89,3004.06,22.8967,701.15,2858.74,2074.26,1253.87
47,IL23A,0.0490073,0.0,0.0,0.0,0.391571,0.0,0.39657,1.17162,0.206189,0.0,0.0
48,IL33,0.883329,11.9004,0.0,0.120374,0.928946,2.46716,3.82804,0.411647,0.159485,2.09151,0.0
49,INPP4B,37.1722,56.2819,2.22397,2.65465,17.8934,30.0611,22.1376,4.95234,7.3277,7.49991,27.0667
50,ITM2A,5.13433,31.2676,2.31869,6.71579,4.17182,19.0463,74.1134,6.33672,14.73,9.83011,0.0
