,gene_short_name,V515-06187-A1,17-00163-6_S7Aligned_cufflinks,TNT-192,TNT-167,TNT-197,TNT-27,TNT-14,TNT-41,TNT-252,TNT-281,17-00212-8_S3Aligned_cufflinks
88,SPTLC2,28.7351,32.8332,92.5973,100.115,20.6077,54.4677,50.5338,40.6695,69.7546,43.3611,69.0722
89,SRPX,12.4869,1.92123,12.4008,3.04974,3.03199,2.94887,1.23219,9.47686,1.39382,0.0,3.76485
90,TCF7L1,11.751,26.805,4.49596,7.44906,11.6431,4.68032,51.7263,44.3834,1.03906,4.37187,2.6816
91,TFAP2B,1.18026,0.956076,30.4718,88.6032,2.15162,0.171971,2.54938,0.412276,0.705329,0.00802045,28.0595
92,THBS4,8.67223,1.21156,94.5627,13.5348,10.4635,4.17952,0.667736,16.1641,19.072,2.93782,10.1305
93,TNFAIP8,5.97248,8.02079,26.2559,26.9164,34.4778,3.46861,12.4301,13.7256,152.685,22.9848,23.0422
94,TNFSF10,24.8142,3.33955,58.4692,7.97765,12.9188,9.22564,14.402,115.984,20.8352,43.6615,48.7501
95,TRIM68,7.67148,0.83077,6.42502,3.56293,0.0,5.14035,4.73203,4.9053,0.917264,13.5519,7.427
96,TSC22D3,7.24202,18.3645,3.23766,81.2312,12.3722,2.81851,3.04296,15.5388,5.53498,6.87321,18.1725
97,UBD,0.0,0.0,6.69419,1.58e-09,11.2956,8.23e-15,6.24666,9.98192,27.5734,137.485,0.0
98,UGT2B28,0.0,0.0,118.359,364.95,0.0,0.0,0.0,0.0847062,0.0,5.3234,2.89132
99,XBP1,26.3139,39.7686,91.6678,79.6914,68.1152,17.6839,60.9409,23.1296,27.9228,35.2366,136.75
100,ZCCHC24,0.75321,0.257006,0.0678474,0.764751,0.0,0.0,0.188213,0.70298,0.291738,0.0,1.17116
