,gene_short_name,V515-06187-A1,17-00125-8_S13Aligned_cufflinks,TNT-167,TNT-111,TNT-18,TNT-152,TNT-202,TNT-204,17-00163-6_S7Aligned_cufflinks,TNT-195,17-00123-8_S16Aligned_cufflinks
90,TCF7L1,11.751,17.9877,7.44906,3.05407,13.6733,3.51488,12.4548,2.498,26.805,6.93266,20.1422
91,TFAP2B,1.18026,3.92227,88.6032,60.1361,0.0264427,41.8386,0.0439049,27.5623,0.956076,4.9751,0.268108
92,THBS4,8.67223,17.7867,13.5348,24.2651,24.2912,80.985,9.82113,52.0386,1.21156,19.324,6.37277
93,TNFAIP8,5.97248,11.2917,26.9164,12.6779,30.5044,33.7402,11.4387,55.4688,8.02079,63.4308,15.8607
94,TNFSF10,24.8142,18.0064,7.97765,20.7587,65.3121,54.9682,53.0847,27.04,3.33955,44.5186,39.6627
95,TRIM68,7.67148,18.792,3.56293,7.69963,3.00034,10.6999,2.25688,2.84899,0.83077,2.8009,3.50305
96,TSC22D3,7.24202,28.8027,81.2312,47.5759,3.91348,85.877,5.32342,16.318,18.3645,30.3757,23.0082
97,UBD,0.0,0.0,1.58e-09,1.09897,30.6124,4.33349,19.2552,35.4542,0.0,22.4284,0.0
98,UGT2B28,0.0,0.392821,364.95,259.096,3.15284,60.8148,0.0,0.492406,0.0,0.0,0.053475
99,XBP1,26.3139,63.704,79.6914,180.636,30.2895,158.579,36.7108,341.116,39.7686,124.742,49.1615
100,ZCCHC24,0.75321,5.12318,0.764751,2.02662,0.120759,4.15671,0.0990294,1.14291,0.257006,1.40477,1.25453
