,gene_short_name,V515-06187-A1,17-00104-2_S7Aligned_cufflinks,TNT-35,TNT-274,TNT-56,TNT-311,17-00152-9_S4Aligned_cufflinks,TNT-278,17-00163-6_S7Aligned_cufflinks,TNT-252,17-00139-2_S9Aligned_cufflinks
0,ABCA8,1.07397,7.99826,16.6291,1.8778700000000002,53.5647,34.8692,0.0,6.094869999999999,0.7701479999999999,8.54573,3.6460000000000004
1,ADRA2A,0.196819,0.145057,0.9818889999999999,0.0,0.818513,0.0496502,0.0,0.0,0.0657186,0.30338699999999996,0.21834
2,AKAP12,3.7524300000000004,0.6447689999999999,12.7669,2.2822400000000003,7.0299,15.4658,0.0,4.77909,1.2357,3.3419300000000005,2.68102
3,ALDH3B2,34.613,28.0666,73.376,4.415109999999999,2.74039,0.5624600000000001,159.809,1.8783400000000001,2.97506,0.0,27.7129
4,APOD,101.54799999999999,6.770160000000001,4574.95,1713.18,3331.85,582.871,103.494,86.3132,57.5143,7.803389999999999,8.01472
5,ART3,19.2103,6.09762,0.887626,9.25212,4.69583,379.806,69.9625,0.0,80.791,0.337303,1.5872
6,ASPN,31.1651,3.6449199999999995,16.949,14.8356,27.5234,46.0267,0.0,11.8417,20.2771,15.8789,9.948369999999999
7,AZGP1,64.9749,56.5053,367.6,9.61207,112.811,580.643,8.79505,134.856,59.9678,7.40158,1.50857
8,BLVRB,6.57613,1.03463,4.5501,0.0,1.36521,0.5977600000000001,3.61882,0.0,8.241610000000001,0.871201,1.37106
9,C7,0.29143,0.923272,24.8307,0.905123,9.02806,8.6817,15.638,19.5287,1.01661,24.0301,0.645289
10,CCL5,1.03708,0.26264,20.5653,1.5013299999999998,15.388,2.70085,0.0,8.68593,0.0,2.64418,2.11983
11,CD36,36.5005,96.9286,17.7795,6.41063,1102.89,25.2541,0.0,36.6558,19.9552,13.2741,14.3767
12,CD52,5.15236,0.315542,127.084,13.366,120.281,21.335,95.8765,147.046,4.53303,437.32099999999997,2.72221
13,CDC20,19.1111,15.73,6.233619999999999,3.08772,15.8234,8.48748,0.0,1.44794,33.2568,7.2855,34.2285
14,CHI3L1,52.4824,3.18682,8.07722,6.41977,2.97668,0.922415,21.7065,0.1863,183.889,0.06820520000000001,127.334
